"word","position_score","psi","zeta","abs_zeta","political_leaning","frequency","position_rank","discrimination_rank"
"spüren",-0.0621146804876801,2.11404038559502,-0.178752569190848,0.178752569190848,"left",53,9606,16006
"haltung",-0.0620721730911564,2.80718094720049,-0.25262047502626,0.25262047502626,"left",106,9607,15009
"wachsen",-0.0620031749480598,2.27086549182865,-0.192986133367701,0.192986133367701,"left",62,9608,15799
"jobcentern",-0.0619450435262959,1.40181858866546,-0.12485547789329,0.12485547789329,"left",26,9609,16776
"individueller",-0.0617762603118324,0.916284466666535,-0.0976765379740529,0.0976765379740529,"left",16,9610,17137
"verträgen",-0.0617615841458358,1.36256928105823,-0.122066526579879,0.122066526579879,"left",25,9611,16844
"unterscheiden",-0.0617194152985362,1.64019444214753,-0.140147547040619,0.140147547040619,"left",33,9612,16528
"lohnen",-0.0614669233584374,1.85721955242577,-0.155572050997517,0.155572050997517,"left",41,9613,16315
"liefert",-0.0614477281968258,1.60938039197941,-0.13739734567531,0.13739734567531,"left",32,9614,16568
"eurozone",-0.0614170378929384,1.54483707932562,-0.132967644798647,0.132967644798647,"left",30,9615,16639
"tägliche",-0.0611630778085128,0.851650226802053,-0.0936316827451927,0.0936316827451927,"left",15,9616,17201
"innovativ",-0.0609527531926416,1.03393889767671,-0.102213981641091,0.102213981641091,"left",18,9617,17081
"jahrelang",-0.0609481741227488,2.22110386740611,-0.185040705797491,0.185040705797491,"left",59,9618,15901
"geflohen",-0.0605942578626713,0.62841767251437,-0.0829641818021087,0.0829641818021087,"left",12,9619,17385
"inhalten",-0.0605815068900697,1.75442693792435,-0.145649514291354,0.145649514291354,"left",37,9620,16458
"schwanger",-0.0605384720941031,0.222943824790541,-0.0676773106137312,0.0676773106137312,"left",8,9621,17577
"umso",-0.0603571651158153,2.72844134414842,-0.236157826673609,0.236157826673609,"left",98,9622,15192
"unternehmer",-0.0600066456121557,2.36292657304687,-0.195570045217767,0.195570045217767,"left",68,9623,15760
"reduzierung",-0.0599456083723487,2.01461029403035,-0.164143783267719,0.164143783267719,"left",48,9624,16188
"wahlrecht",-0.0599357121327078,2.5378568835586,-0.2131936622608,0.2131936622608,"left",81,9625,15515
"cybersicherheit",-0.0597110440390696,1.60910833044777,-0.133495952735496,0.133495952735496,"left",32,9626,16624
"hohen",-0.0595262960984938,3.76374424110475,-0.390836880183478,0.390836880183478,"left",276,9627,13232
"verbindungen",-0.0595207372734759,1.23438495427225,-0.110334565527705,0.110334565527705,"left",22,9628,16972
"ausbauziele",-0.0594921912898469,0.628244659754038,-0.0814482130018694,0.0814482130018694,"left",12,9629,17394
"handeln",-0.0594568085719862,3.93634605112145,-0.425567327999206,0.425567327999206,"left",328,9630,12833
"großbritanniens",-0.0593627531480056,0.340542217310254,-0.0703820378873983,0.0703820378873983,"left",9,9631,17533.5
"realistischen",-0.0593627531480056,0.340542217310254,-0.0703820378873983,0.0703820378873983,"left",9,9632,17533.5
"prinzipiell",-0.0593627531480056,0.340542217310254,-0.0703820378873983,0.0703820378873983,"left",9,9633,17533.5
